,week_end,Province,numtotal_atleast1dose,numtotal_partially,numtotal_fully,proptotal_atleast1dose,proptotal_partially,proptotal_fully,numeligible_atleast1dose,numeligible_partially,numeligible_fully,propeligible_atleast1dose,propeligible_partially,propeligible_fully
247,2021-04-24,PEI,39530,29251.0,10279.0,24.76,18.32,6.44,,,,,,
248,2021-04-24,NS,238566,203751.0,34815.0,24.36,20.8,3.55,,,,,,
249,2021-04-24,NB,219257,195088.0,24169.0,28.06,24.96,3.09,,,,,,
250,2021-04-24,QC,2773207,2721477.0,51730.0,32.34,31.74,0.6,,,,,,
251,2021-04-24,ON,4268812,3908475.0,360337.0,28.97,26.53,2.45,,,,,,
252,2021-04-24,MB,349534,278119.0,71415.0,25.34,20.16,5.18,,,,,,
253,2021-04-24,SK,360002,316451.0,43551.0,30.54,26.85,3.69,,,,,,
254,2021-04-24,AB,1127370,856730.0,270640.0,25.5,19.37,6.12,,,,,,
255,2021-04-24,BC,1543065,1453896.0,89169.0,29.98,28.24,1.73,,,,,,
256,2021-04-24,YT,24817,3290.0,21527.0,59.02,7.82,51.19,,,,,,
257,2021-04-24,NT,25851,4910.0,20941.0,57.24,10.87,46.37,,,,,,
258,2021-04-24,NU,15158,2978.0,12180.0,38.52,7.57,30.95,,,,,,
259,2021-05-01,CAN,12779536,11655857.0,1123679.0,33.63,30.67,2.96,,,,,,
260,2021-05-01,NL,171285,161620.0,9665.0,32.81,30.96,1.85,,,,,,
261,2021-05-01,PEI,45383,34745.0,10638.0,28.43,21.77,6.66,,,,,,
262,2021-05-01,NS,283812,247213.0,36599.0,28.98,25.24,3.74,,,,,,
263,2021-05-01,NB,243986,216762.0,27224.0,31.22,27.74,3.48,,,,,,
264,2021-05-01,QC,3109455,3005084.0,104371.0,36.26,35.05,1.22,,,,,,
265,2021-05-01,ON,4951946,4576638.0,375308.0,33.61,31.06,2.55,,,,,,
266,2021-05-01,MB,412267,339058.0,73209.0,29.89,24.58,5.31,,,,,,
267,2021-05-01,SK,406783,362269.0,44514.0,34.51,30.74,3.78,,,,,,
268,2021-05-01,AB,1305432,1011710.0,293722.0,29.52,22.88,6.64,,,,,,
269,2021-05-01,BC,1781618,1689723.0,91895.0,34.61,32.82,1.79,,,,,,
270,2021-05-01,YT,25192,2858.0,22334.0,59.91,6.8,53.11,,,,,,
271,2021-05-01,NT,26327,4655.0,21672.0,58.3,10.31,47.99,,,,,,
272,2021-05-01,NU,16050,3522.0,12528.0,40.78,8.95,31.83,,,,,,
